Country,Name,# walks,Year,Mission
USSR,Alexei Leonov,1,1965, Voskhod 2
U.S.,Ed White,1,1965, Gemini 4
U.S.,Eugene Cernan,1,1966, Gemini 9A
U.S.,Michael Collins,2,1966, Gemini 10 EVA 1 
U.S.,Michael Collins,2,1966, Gemini 10 EVA 2 
U.S.,"Richard F. Gordon, Jr.",2,1966, Gemini 11 EVA 1 
U.S.,"Richard F. Gordon, Jr.",2,1966, Gemini 11 EVA 2 
U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 1 
U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 2
U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 3 
USSR,Yevgeny Khrunov,1,1969, Soyuz 5/4
USSR,Aleksei Yeliseyev,1,1969, Soyuz 5/4
U.S.,David Scott,2,1969, Apollo 9 
U.S.,Rusty Schweickart,1,1969, Apollo 9
U.S.,James Irwin,1,1971, Apollo 15 EVA 2 
U.S.,Alfred Worden,1,1971, Apollo 15 EVA 2
U.S.,"Charles Moss Duke, Jr.",1,1972, Apollo 16 
U.S.,Ken Mattingly,1,1972, Apollo 16
U.S.,Harrison Schmitt,1,1972, Apollo 17 
U.S.,Ronald Evans,1,1972, Apollo 17
U.S.,Paul J. Weitz,2,1973, Skylab 2 EVA 1
U.S.,Paul J. Weitz,2,1973, Skylab 2 EVA 3
U.S.,Pete Conrad,2,1973, Skylab 2 EVA 2
U.S.,Pete Conrad,2,1973, Skylab 2 EVA 3
U.S.,Joseph Kerwin,1,1973, Skylab 2 EVA 2
U.S.,Owen K. Garriott,3,1973, Skylab 3 EVA 1
U.S.,Owen K. Garriott,3,1973, Skylab 3 EVA 2
U.S.,Owen K. Garriott,3,1973, Skylab 3 EVA 3
U.S.,Jack Lousma,2,1973, Skylab 3 EVA 1
U.S.,Jack Lousma,2,1973, Skylab 3 EVA 2
U.S.,Alan Bean,1,1973, Skylab 3 EVA 3
U.S.,Edward Gibson,3,1973-4, Skylab 4 EVA 1
